Timestamp,Age Range,Which best describes you?,"Where do you spend most of your time in Golden? (e.g., where you live or work)",How long have you lived in or regularly spent time in Golden? ,"When you want to learn something new, be creative, or spend time around other people, where do you usually go now?  Select all that apply: ",What do you feel is most missing in Golden right now?  , Do you feel connected to people in Golden outside of your immediate family/friend group or workplace?  ,"If you'd like to share, what makes it hard to feel connected?","If Golden had a shared community space, which of the following would you be interested in?",Which 2-3 of these personally matter to you the most?,How often do you think you might realistically use a space like this?  ,"What would make the space feel welcoming to you? (e.g.,  pricing, age mix, location, programming style, atmosphere, etc.) ","If a new shared community space existed in Golden, how likely would you be to participate in the following?   [Taking classes or workshops]","If a new shared community space existed in Golden, how likely would you be to participate in the following?   [Attending community events or clubs]","If a new shared community space existed in Golden, how likely would you be to participate in the following?   [Using open space / creative / maker space]","If a new shared community space existed in Golden, how likely would you be to participate in the following?   [Using a community kitchen or cafe]","If a new shared community space existed in Golden, how likely would you be to participate in the following?   [Bringing kids or teens to activities]","If a new shared community space existed in Golden, how likely would you be to participate in the following?   [Attending talks or skill-sharing sessions]",Would you be interested in any of the following ways of being involved?  , What would make it easier for you to participate?  ,"What skills, interests, or knowledge could you imagine sharing with others? (e.g., woodworking, welding, cooking, sewing, art, home repair, gardening, tutoring, languages, technology, gaming, outdoor skills, 3D Printing, etc.) ","If you could design a community space in Golden, what would it look like or include?  You can describe it in words, share links, upload a sketch, or share a photo that represents the vibe (upload below).",Upload here!
2/3/2026 15:28:59,35-49,Working Full-Time,"Downtown / Central Golden (South of 58, North of 24th Street)",I grew up here,"Golden Community Center, Coffee shops / breweries, Private classes or studios",Sense of community,Somewhat,Attitude of neighbors ,"Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Sewing, Mending, or Fiber Arts, Ceramics",Same,A few times a month,NA,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Somewhat Likely,"Volunteering ocassionally, Helping with events, Donating tools, supplies, or equipment","Evening and weekend hours, Child-friendly programming, Being able to drop in without committment",Most of those ,Not sure ,
2/3/2026 16:06:46,24-34,Working Full-Time,North Golden (North of 58),4-10 years,"Parks / trails / outdoors, Home",Gyms ,"Yes, very",,"Small business development /entrepeneurship, Talks or community discussions, Outdoor skills or environmental workshops",Small business ,A few times a month,,Somewhat Likely,Not Likely,Not Likely,Not Likely,Not Likely,Somewhat Likely,"Paying for individual classes or workshops, Donating tools, supplies, or equipment",Being able to drop in without committment,Gardening ,,
2/3/2026 17:33:25,50-64,Working Part-Time,North Golden (North of 58),10+ years,"Coffee shops / breweries, Parks / trails / outdoors, Home","Creative or maker spaces, Affordable activities and classes, Ways to meet new people",Somewhat,,"Clubs (book, film, language, etc.), Woodworking / Metalworking, 3D Printing / Design, Painting / Drawing / Printmaking, Talks or community discussions, Outdoor skills or environmental workshops","drawing, clubs, 3D printing",A few times a month,"flexible pricing (buy in weekly or monthly), mixed ages and genders, close to downtown Golden by bike/walking, casual",Somewhat Likely,Very Likely,Very Likely,Not Likely,Not Likely,Very Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Teaching or helping lead activities","Low-Cost or sliding scale plan, Being able to drop in without committment, Walk or bike distance from downtown Golden",,"Outdoorsy, open, many types of people",
2/3/2026 19:24:50,35-49,Parent / Caregiver,North Golden (North of 58),4-10 years,"Coffee shops / breweries, Parks / trails / outdoors, Private classes or studios, Home, I don't really have a place to go for this","Creative or maker spaces, Ways to meet new people",Somewhat,,"Cooking classes or shared kitchen events, Clubs (book, film, language, etc.), Woodworking / Metalworking, 3D Printing / Design, Sewing, Mending, or Fiber Arts, Ceramics, Painting / Drawing / Printmaking, Talks or community discussions, Outdoor skills or environmental workshops","Cooking, art, clubs",A few times a month,"Atmosphere, ease of scheduling/organizing/calendar",Very Likely,Very Likely,Somewhat Likely,Very Likely,Very Likely,Very Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Teaching or helping lead activities, Helping with events","Child-friendly programming, Being able to drop in without committment, Close to transit or bike routes, Clear calendar",,"Mix of spaces, modular, mixed format, messy area",
2/3/2026 20:14:55,50-64,Working Full-Time,"South Golden (South of 24th Street, including West Pleasant View)",10+ years,"Home, I don't really have a place to go for this","Creative or maker spaces, Affordable activities and classes","Yes, very",Small community - great events ,"Cooking classes or shared kitchen events, Ceramics, Painting / Drawing / Printmaking",Painting and drawing ,A few times a year,"Pricing helps, cozy/artsy atmosphere ",Very Likely,Somewhat Likely,Very Likely,Not Likely,Not Likely,Not Likely,Paying for individual classes or workshops,"Evening and weekend hours, Being able to drop in without committment",,"Lofted, open, central classroom space with other spaces of different kinds - cozy seats and couches, chairs & tables, etc",
2/4/2026 12:54:29,24-34,Working Full-Time,"West of 6th (Beverly Heights, Golden Ridge, Lookout)",4-10 years,"Gym / fitness studio, Coffee shops / breweries, Parks / trails / outdoors","Places for teens to hang out, Affordable activities and classes, Community gathering spaces that aren't bars",Somewhat,,"Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Study or work space, Outdoor skills or environmental workshops",,Weekly,,Somewhat Likely,Not Likely,Somewhat Likely,Somewhat Likely,Not Likely,Somewhat Likely,"Volunteering ocassionally, Helping with events","Evening and weekend hours, Being able to drop in without committment",,,
2/4/2026 21:55:03,24-34,,"South Golden (South of 24th Street, including West Pleasant View)",1-3 years,"Parks / trails / outdoors, Home, Outside of Golden","Creative or maker spaces, Affordable activities and classes, Community gathering spaces that aren't bars, Opportunities to learn practical skills, Ways to meet new people, Free beer & socialization outside of a bar","No, I feel pretty disconnected","Places in golden are good for connecting with who you bring, not so much who you run into. Especially in winter. ","Small business development /entrepeneurship, Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Clubs (book, film, language, etc.), Study or work space, Woodworking / Metalworking, Electronics / Robots, 3D Printing / Design, Sewing, Mending, or Fiber Arts, Ceramics, Painting / Drawing / Printmaking, Talks or community discussions, Outdoor skills or environmental workshops, Free beer. ",Free beer and business oriented events ,Weekly,"Name tags and at least two couches that are actually nice to sit on for people to drink their free beer around others, and maybe the free beer will encourage people to show up and socialize. Maybe integrate the kitchen activities with free food offerings. Emphasis on free. Offer incentives for donors, so all are welcome to show up. ",Somewhat Likely,Very Likely,Very Likely,Very Likely,Not Likely,Very Likely,"Volunteering ocassionally, Teaching or helping lead activities, Helping with events","Low-Cost or sliding scale plan, Evening and weekend hours, Being able to drop in without committment, Free beer. ","Cooking, gardening/crops, basic roommate etiquette, how to change car oil, high energy dance parties/ ecstatic dance, avoiding scams online, etc","It would be a large indoor/outdoor area with a large heated wind proof outside seating standing area, a sitting area upon entry, lots of natural light with live plants inside, a stage and dancefloor/event area (maybe rentable) would have an all ages bar featuring free beer and free other beverages such as carbonated water, sodas, seasonals like cocoa/cider. Would need a bartender for free beer (IDs) or an NFC based system with a card or wristband/etc for age verified adults to activate the beer dispenser for legality. Ideally this place can have amplified music events. If it has a bottom floor it could be soundproof enough to extend operating hours for people who want remotely any nightlife in Golden since it is currently nonexistent. ",
2/5/2026 9:42:52,24-34,Working Full-Time,"Downtown / Central Golden (South of 58, North of 24th Street)",1-3 years,"Coffee shops / breweries, Private classes or studios, I don't really have a place to go for this","Creative or maker spaces, Affordable activities and classes, Community gathering spaces that aren't bars, Opportunities to learn practical skills, Ways to meet new people, Easy to access grocery and local maker spaces in downtown golden ",Not really,,"Woodworking / Metalworking, Sewing, Mending, or Fiber Arts, Ceramics, Painting / Drawing / Printmaking, Talks or community discussions, Outdoor skills or environmental workshops","Crafting spaces, places to learn new skills ",Not sure,"Pricing, atmosphere ",Very Likely,Somewhat Likely,Very Likely,Not Likely,Not Likely,Very Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Helping with events","Low-Cost or sliding scale plan, Evening and weekend hours, Being able to drop in without committment, Close to transit or bike routes",Crafting ,,
2/5/2026 9:49:22,24-34,Working Full-Time,I live outside Golden but spend time here,I grew up here,"Coffee shops / breweries, Parks / trails / outdoors, Home, Outside of Golden",Ways to meet new people,Not really,,"Small business development /entrepeneurship, Household repair clinics (fixing small appliances, bikes, gear, etc.), Woodworking / Metalworking, Electronics / Robots, Ceramics, Talks or community discussions, Outdoor skills or environmental workshops",,A few times a month,,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not Likely,Not Likely,Somewhat Likely,Volunteering ocassionally,"Evening and weekend hours, Being able to drop in without committment",,,
2/5/2026 10:06:19,50-64,Working Full-Time,"Downtown / Central Golden (South of 58, North of 24th Street)",I grew up here,"Gym / fitness studio, Coffee shops / breweries","Creative or maker spaces, Places for teens to hang out, Ways to meet new people","Yes, very",,"Cooking classes or shared kitchen events, Ceramics",,A few times a month,programming style and atmosphere,Very Likely,Somewhat Likely,Not Likely,Somewhat Likely,Not Likely,Somewhat Likely,"Volunteering ocassionally, Donating tools, supplies, or equipment",Being able to drop in without committment,,"I went to a play at the Arvada Center and am super impressed with all that they offer. If you have not already it would be worth a field trip.  The place should feel comfortable and cozy, not like a library.  There should be an open to the public area and thoughtful staff on site.  As the owner of Connects Workspace having a ""community builder"" will be important. 
I grew up in Golden and we used to go to dances in what is now the library.  I know longer have teens in the house, but I think this is a HUGE need in Golden. As safe place that kids can have fun and be loud but are safe. ",
